pathway	external_id	source	hgnc_symbol_ids
Intestinal immune network for IgA production - Homo sapiens (human)	path:hsa04672	KEGG	TNFSF13,TGFB1,CD40LG,ITGA4,TNFRSF17,CCR9,ICOSLG,MADCAM1,TNFSF13B,LTBR,HLA-DRA,CD80,CD86,CCL28,HLA-DQB1,CXCR4,IL2,CCL25,HLA-DPB1,ICOS,CD28,ITGB7,HLA-DRB3,CCR10,HLA-DRB1,CD40,HLA-DRB4,HLA-DRB5,PIGR,CXCL12,TNFRSF13B,TNFRSF13C,IL10,IL15RA,IL15,HLA-DQA1,IL6,IL4,IL5,MAP3K14,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DMB,AICDA,HLA-DQA2,HLA-DMA
Biotin metabolism - Homo sapiens (human)	path:hsa00780	KEGG	BTD,HLCS,OXSM
Cholinergic synapse - Homo sapiens (human)	path:hsa04725	KEGG	FYN,AKT1,AKT2,AKT3,CACNA1A,CACNA1B,CACNA1C,PIK3CD,CAMK4,CACNA1F,PIK3CG,PIK3R3,CACNA1S,CAMK2D,CREB5,CAMK2G,CREB3,CAMK2A,CAMK2B,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,GNG7,GNG4,GNG5,GNG2,GNG3,GNG8,GNAO1,HRAS,PIK3R6,PIK3R5,JAK2,PIK3R2,PIK3R1,PLCB1,PLCB2,PLCB3,PLCB4,FOS,KCNQ4,KCNQ5,KCNQ2,KCNQ3,KCNQ1,PRKCG,ITPR2,ITPR3,ITPR1,GNAQ,PIK3CA,SLC18A3,PIK3CB,GNG10,GNG11,GNG12,CHAT,GNG13,GNAI2,GNAI3,GNAI1,CHRNB2,CHRNB4,PRKCB,MAPK3,MAPK1,GNB5,GNB4,GNB1,GNB3,GNB2,CHRNA4,CHRNA6,CHRNA7,CHRNA3,ACHE,KCNJ3,KCNJ2,KCNJ6,KCNJ4,PRKACG,PRKACA,PRKACB,MAP2K1,SLC5A7,NRAS,KCNJ12,CREB3L4,KCNJ14,PRKCA,CHRM5,CHRM4,CHRM3,CHRM2,CHRM1,CREB1,CACNA1D,CREB3L2,CREB3L3,CREB3L1,GNGT2,GNGT1,GNA11,ATF4,BCL2
Lipoic acid metabolism - Homo sapiens (human)	path:hsa00785	KEGG	LIPT2,LIAS,LIPT1
Human cytomegalovirus infection - Homo sapiens (human)	path:hsa05163	KEGG	TAP1,PTGS2,TAP2,PPP3R2,CRKL,IKBKB,AKT1,PTK2B,AKT3,IKBKG,CGAS,TMEM173,B2M,CALM2,CALM3,CALM1,PTGER4,PIK3CA,PIK3CB,PIK3CD,PTGER1,PTGER2,GNG13,FADD,IFNA13,MYC,IFNA10,IFNA17,IFNA16,IFNA14,ARHGEF11,ARHGEF12,CDKN2A,SP1,CREB5,CREB3,CREB1,FASLG,MDM2,CXCL12,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,CCND1,CXCL8,ADCY8,ADCY9,GSK3B,GNG7,GNG4,GNG5,GNG2,GNG3,IFNA2,CCL3L3,IFNA1,GNG8,AKAP13,CCL2,CCL3,NFATC2,NFATC3,NFATC4,IL10RA,IL10RB,CCL5,HLA-C,HLA-B,CDKN1A,NFKBIA,HLA-G,HLA-F,HLA-E,ITGB3,ELK1,CRK,BAK1,IL1R1,RAC3,IL6,GNAI2,GRB2,PIK3R3,PIK3R2,PIK3R1,JAK1,CX3CL1,PRKACA,GNAI1,PLCB1,PLCB2,PLCB3,PLCB4,CHUK,AKT2,VEGFA,HRAS,ITPR2,ITPR3,RHOA,ITPR1,BCAR1,IRF3,TP53,GNAQ,GNAS,CALML3,CREB3L4,CALML6,ITGAV,CALML4,EIF4EBP1,CCL3L1,PPP3R1,PDGFRA,NFATC1,GNG10,GNG11,MAPK14,CCR1,CCR3,CCR5,MAPK12,MAPK13,ARHGEF1,IL1B,PTGER3,TSC2,GNAI3,TSC1,STAT3,CCL4,TBK1,RPS6KB1,TRADD,RPS6KB2,MAPK3,MAPK1,RAF1,GNAO1,NFKB1,HLA-A,SRC,GNB5,GNB4,GNB1,GNB3,GNB2,CASP8,MTOR,CYCS,RELA,E2F2,CTNNB1,IFNA8,SOS2,SOS1,CCL4L1,CCL4L2,TNFRSF1A,IFNA7,IFNA6,IFNA5,IFNA4,TAPBP,IFNB1,PRKACG,IFNA21,CDK4,CDK6,PRKACB,RHEB,MAP2K6,PTK2,EGFR,BAX,RIPK1,MAP2K2,MAP2K1,CALML5,FAS,BID,NRAS,RB1,CXCR2,MAPK11,PXN,CXCR4,GNA13,TRAF2,RAC2,TRAF5,RAC1,PRKCA,PRKCB,PDIA3,PRKCG,TNF,PPP3CA,IL6R,PPP3CB,PPP3CC,E2F3,CASP3,E2F1,CALR,ROCK1,ROCK2,CASP9,CREB3L2,CREB3L3,CREB3L1,GNA12,GNGT2,GNGT1,GNA11,ATF4,ATF6B,GNG12,ATF2
Notch signaling pathway - Homo sapiens (human)	path:hsa04330	KEGG	DTX4,DTX3L,CIR1,MFNG,DTX1,DTX2,DTX3,LFNG,KAT2B,KAT2A,NCSTN,HDAC2,RFNG,ADAM17,PSENEN,NOTCH3,NCOR2,APH1B,APH1A,MAML2,MAML3,MAML1,PSEN2,PSEN1,DVL2,DVL3,DVL1,JAG2,JAG1,NUMBL,RBPJL,DLL1,DLL3,DLL4,NUMB,HES1,PTCRA,EP300,HDAC1,SNW1,NOTCH4,NOTCH1,NOTCH2,HES5,CTBP1,CTBP2,RBPJ,CREBBP
Non-homologous end-joining - Homo sapiens (human)	path:hsa03450	KEGG	DNTT,MRE11,PRKDC,DCLRE1C,LIG4,FEN1,XRCC4,RAD50,POLM,POLL,XRCC5,NHEJ1,XRCC6
Epstein-Barr virus infection - Homo sapiens (human)	path:hsa05169	KEGG	TAP1,TAP2,IFNAR2,AKT1,B2M,AKT3,IKBKG,IKBKE,TYK2,RBPJ,GADD45A,GADD45B,PIK3CD,MAP3K7,GADD45G,OAS1,OAS3,OAS2,FADD,IFNA13,PIK3R3,MYC,IRAK1,IFNA17,IFNA16,IRAK4,JAK3,HLA-DPB1,RBPJL,ENTPD3,ENTPD1,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,ISG15,CXCL10,MDM2,IKBKB,FCER2,CCND1,ADRM1,CCND3,CCND2,AKT2,BAK1,TLR2,RUNX3,IFNAR1,PSMD3,MAVS,CD3D,CD3E,CD3G,HDAC2,HLA-C,CDKN1B,HLA-A,NFKBIA,HLA-G,HLA-F,HLA-E,NFKBIE,VIM,IL6,DDX58,SAP30,CCNE2,CCNE1,JUN,IFNA10,HLA-DQB1,PIK3R2,PIK3R1,JAK1,MYD88,CDK6,CHUK,SKP2,IRF3,RELA,IRF7,TBK1,PSMD14,IRF9,PSMD11,PSMD13,PSMD12,ITGAL,PIK3CA,HES1,PIK3CB,BTK,CD19,HDAC1,CIR1,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,POLK,NCOR2,STAT3,STAT2,STAT1,IFNA14,NEDD4,TRADD,IFNB1,NFKBIB,ICAM1,HLA-B,DDB2,NFKB1,NFKB2,MAPK9,CDKN1A,APAF1,CR2,MAPK8,CYCS,RELB,TP53,USP7,LYN,E2F2,MAP2K3,IFNA8,IFNA2,IFNA1,EIF2AK2,IFNA7,IFNA6,IFNA5,IFNA4,TAPBP,CDK2,IFNA21,CDK4,HLA-DOA,HLA-DOB,HLA-DPA1,BLNK,CALR,MAP2K6,PSMD8,PSMD4,CD58,PSMD6,PSMD1,BAX,PSMD2,RIPK1,PLCG2,CD247,MAP2K7,TNFAIP3,PSMD7,MAP2K4,SYK,HLA-DRA,BCL2L11,CCNA1,FAS,BID,RB1,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,SIN3A,TRAF2,TRAF3,TRAF5,TRAF6,RAC1,CD44,PDIA3,CD40,TNF,CCNA2,ENTPD8,SEM1,SNW1,E2F3,CASP3,E2F1,TAB2,TAB1,CASP8,CASP9,MAP3K14,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQA2,BCL2
Thyroid cancer - Homo sapiens (human)	path:hsa05216	KEGG	TPM3,HRAS,BAX,CTNNB1,MAP2K2,MAP2K1,POLK,NCOA4,GADD45A,GADD45B,NRAS,NTRK1,GADD45G,MAPK3,MAPK1,DDB2,CDH1,MYC,CDKN1A,TCF7,RXRG,RXRA,RXRB,PPARG,CCDC6,RET,LEF1,PAX8,KRAS,TP53,CCND1,TFG,TCF7L1,TCF7L2,BAK1,BRAF,TPR
Taste transduction - Homo sapiens (human)	path:hsa04742	KEGG	TAS2R41,TAS2R20,GABRA4,HCN4,KCNK5,PRKACB,ITPR3,PKD2L1,GABBR1,GABRA5,TAS2R19,P2RX3,P2RX2,GABRA1,GNAT3,GABRA3,SCN3A,TAS2R50,GABRA6,SCN9A,PKD1L3,PDE1C,CACNA1A,PDE1A,CACNA1C,HTR3D,GNG13,SCNN1G,SCN2A,TAS2R40,SCNN1B,SCNN1A,TAS2R31,GRM4,TRPM5,GABRA2,GRM1,ASIC2,HTR3C,PLCB2,TAS2R30,CALHM1,ENTPD2,TAS2R46,TAS2R14,CHRM3,TAS2R16,TAS2R60,TAS2R10,GNB3,TAS2R13,TAS1R1,GABBR2,HTR1E,PRKACA,P2RY1,TAS1R3,P2RY4,ADCY4,PDE1B,ADCY6,TAS2R8,TAS2R9,TAS2R7,TAS2R4,TAS2R5,ADCY8,TAS2R3,TAS2R1,TAS2R43,TAS2R42,PRKACG,HTR3E,HTR3B,TAS2R38,TAS2R45,HTR3A,HTR1D,TAS2R39,HTR1F,TAS1R2,HTR1A,HTR1B
Vibrio cholerae infection - Homo sapiens (human)	path:hsa05110	KEGG	ATP6V1D,ATP6V1F,ATP6V1A,ACTG1,ATP6V1H,PLCG2,PLCG1,ATP6V1C2,ATP6V1E2,TCIRG1,ARF1,ATP6AP1,SLC12A2,ATP6V1B1,ATP6V0D1,ATP6V0A1,ATP6V0B,ATP6V0C,ATP6V0A2,PRKCA,PDIA4,KCNQ1,ATP6V0D2,KDELR3,SEC61G,SEC61A1,SEC61B,ATP6V1B2,PRKACA,TJP2,ATP6V0E2,TJP1,ACTB,GNAS,ADCY3,ATP6V1E1,ADCY9,ERO1A,ATP6V0A4,PRKACG,ATP6V1G3,ATP6V1G2,ATP6V1G1,PRKACB,KDELR2,ATP6V0E1,ATP6V1C1,KDELR1,CFTR,SEC61A2
EGFR Inhibitor Pathway, Pharmacodynamics	PA162356267	PharmGKB	CAMK1D,CAMK1G,JUN,HRAS,MAPK8,EGFR,MAP2K1,RRAS,PLCG2,AKT2,AKT3,MAP2K7,ELK1,PIK3CG,RAF1,EGF,TGFA,AREG,STAT4,STAT3,ERBB4,STAT1,MAPK3,CAMK1,PIK3CA,PIK3CB,MAP3K1,NRAS,PIK3CD,HBEGF,MAPK1,PIK3R3,PIK3R2,PIK3R1,JAK1,NRG1,NFKB1,MYC,NRG2,NRG3,ERBB2,ERBB3,PRKCB,SHC1,SHC2,FOS,CAMK2D,SP1,CAMK2G,SHC3,MRAS,CAMK2B,CAMK2A,PRKCA,PRKCG,STAT2,NFKB2,KRAS,RELA,SOS1,AKT1,PLCG1,STAT5B,STAT5A,GRB2,EREG,BTC
Imipramine/Desipramine Pathway, Pharmacokinetics	PA162359940	PharmGKB	CYP1A2,CYP2C19,CYP3A4,CYP2D6
Imatinib Pathway, Pharmacokinetics/Pharmacodynamics	PA164713427	PharmGKB	CYP2C9,CYP1A2,CYP2D6,ABCG2,KIT,ABCB1,CYP2C19,ABL1,CYP3A4,CYP3A5,BCR
Losartan Pathway, Pharmacokinetics	PA164713428	PharmGKB	CYP2C9,UGT2B7,CYP3A4,AGTR1,UGT1A1
Olfactory transduction - Homo sapiens (human)	path:hsa04740	KEGG	OR52B2,OR52B6,OR52B4,OR10T2,OR13H1,OR2L5,OR2L2,OR2L3,OR2L8,OR14K1,OR12D2,OR12D3,OR5AK2,OR7D2,OR10S1,OR9I1,OR7D4,OR5J2,CAMK2D,CAMK2G,CAMK2A,CAMK2B,OR13C4,OR13C5,OR13C2,OR13C3,OR52K1,OR52K2,OR13C8,OR13C9,OR5A2,OR5A1,OR2L13,OR1B1,ANO2,OR5D18,OR2W3,OR2W1,OR6C1,OR5D14,OR2W5,OR5D16,OR7A10,OR1I1,OR5AR1,GUCY2D,OR2AP1,OR14C36,OR12D1,OR5T1,OR4E2,OR4E1,CNGB1,CNGA3,OR5T3,OR4K5,OR4K1,OR4K3,OR4K2,OR2H2,OR2H1,OR6Y1,OR51V1,OR4L1,OR2A2,OR2A5,OR2A4,OR2A7,OR2T34,OR2T35,OR2T33,OR4F15,OR4F16,OR4F17,OR4C46,OR4C45,OR6K3,OR6K2,OR6K6,OR14A16,OR8S1,OR6P1,OR10P1,OR1N2,OR51D1,OR2S2,CALML6,OR5W2,OR11G2,OR6B1,OR8A1,OR6B3,OR52L1,OR14A2,PDE1C,PDE1B,PDE1A,OR2G3,OR3A1,OR3A2,OR3A3,OR13F1,OR2F1,OR6C65,OR2F2,SLC24A4,OR6C68,OR2Z1,OR52Z1,OR1G1,OR8H1,OR8H2,OR8H3,OR5P3,OR5P2,OR51Q1,OR2D2,OR2D3,OR9A2,OR10K2,OR10K1,OR5M9,OR9A4,OR51J1,OR5AC2,GNG13,OR2T12,OR4A47,OR6T1,GNG7,OR6F1,OR5K4,OR5K1,OR5K2,OR5K3,OR52H1,OR4C15,OR4C16,OR4C11,OR4C13,OR4C12,OR8G2P,OR1Q1,OR10AD1,OR1F12,PRKG1,PRKG2,OR5B3,OR5B2,OR2AG2,OR2AG1,OR51G2,OR1C1,OR51G1,OR2V1,OR2V2,OR11H12,OR8D4,CNGA2,OR5T2,CNGA4,OR8D1,OR8D2,OR6A2,OR2M5,CALML3,OR2A12,OR2A14,CALML5,CALML4,OR1J4,OR1J2,OR1J1,OR10G7,OR10G6,OR10G4,OR10G3,OR10G2,OR10G9,OR10G8,OR1D5,OR1D4,OR1D2,OR4D9,OR2Y1,OR4D1,OR4D2,OR4D5,OR4D6,OR8K1,OR8K3,OR8K5,OR2K2,GNB1,OR2AJ1,OR6X1,OR10H2,OR10H3,OR10H1,OR7A5,OR10H4,OR10H5,OR2T29,OR5AN1,OR2T27,OR4C6,OR4C3,OR10Z1,OR52D1,OR14I1,OR5D13,OR6S1,OR4Q3,OR4Q2,OR5F1,OR10Q1,OR5H6,OR5H1,OR5H2,OR8B2,OR10AG1,OR11H2,OR5AU1,OR52M1,OR6J1,OR13A1,OR4X1,OR4X2,OR6C6,OR6C75,OR6C74,OR6C76,OR6C70,OR10C1,OR11H4,OR51B5,OR51B4,OR51B6,OR51B2,CALM2,CALM3,CALM1,OR8G5,OR8G1,OR52R1,OR4N2,OR2G2,OR2G6,OR4N4,OR4N5,OR10D3,OR51I1,OR51I2,ADCY3,OR10V1,OR13J1,OR5M10,OR5M11,OR9K2,NCALD,OR4D10,OR4D11,OR8B3,OR5L1,OR5L2,OR4C5,OR52I1,OR1N1,OR5C1,OR52I2,OR10AC1,OR8U9,OR8U8,OR52J3,GNAL,OR6N1,OR6N2,OR51F1,OR51F2,OR1L8,OR1L4,OR1L6,OR1L1,OR1L3,OR2A25,ARRB2,ARRB1,OR52N4,OR52N5,OR52N2,OR5AP2,OR52N1,OR13D1,SLC8A1,OR1K1,SLC8A3,SLC8A2,OR1E2,OR51M1,OR1E1,OR51L1,OR4K15,OR4K14,OR4K17,OR7A17,OR4K13,OR8J3,OR8J1,OR2J1,OR2J2,OR2J3,OR4A16,OR4A15,OR51S1,OR9G4,OR9G1,OR2AK2,OR9G9,OR5H15,OR5H14,RGS2,OR2T10,OR2T11,OR51T1,OR2C3,OR2C1,OR4B1,OR52E6,OR52E5,OR52E4,OR52E2,OR52E1,OR5B12,OR5B17,OR52E8,OR4P4,OR2M4,OR2M7,OR2M3,OR2M2,OR14J1,OR7E24,OR8U1,OR7G2,OR7G3,OR10R2,OR7G1,OR5I1,OR1A2,OR51A2,OR1A1,OR51A4,GRK2,GRK3,OR6M1,OR2AE1,OR51A7,OR52W1,OR2T8,OR2T6,OR2T7,OR2T4,OR2T5,OR2T2,OR2T3,OR2T1,OR9Q2,OR9Q1,OR5R1,OR11L1,OR5AS1,OR56A5,OR56A4,OR56A3,OR56A1,OR4F3,OR4F6,OR4F4,OR4F5,OR51H1,OR2B11,OR52A1,OR52A5,OR6V1,OR7C2,OR7C1,OR4M2,OR4M1,OR5M8,OR5B21,OR5M3,OR5M1,OR11A1,OR4F29,OR1S1,OR1S2,OR4F21,OR10X1,OR2A1,OR6Q1,OR4S1,OR4S2,OR10W1,OR51E1,OR51E2,OR1M1,OR6C3,OR6C2,OR11H1,OR11H7,OR11H6,OR8B4,OR6C4,OR8B8,OR5V1,OR13G1,PRKACG,PRKACA,PRKACB,OR10A3,OR10A2,OR10A5,OR10A4,OR10A7,OR10A6,OR1F1,OR6B2,OR56B1,OR2A42,OR8I2,OR8B12,OR2AT4,OR10J4,OR10J5,OR10J1,OR10J3,OR5AL1,OR56B4,PDE2A,OR2B6,OR2B2,OR2B3,OR4A5,OR1E3
Pancreatic cancer - Homo sapiens (human)	path:hsa05212	KEGG	BCL2L1,TGFB1,TGFB2,TGFB3,MAP2K1,TGFA,SMAD4,PIK3CD,CDKN1A,VEGFA,EGFR,BAX,SMAD3,IKBKB,AKT1,BAD,AKT3,MAPK10,IKBKG,POLK,CASP9,RAF1,EGF,RAC3,CDK6,RPS6KB2,STAT3,RALBP1,STAT1,ARHGEF6,PIK3CA,GADD45B,RPS6KB1,RB1,GADD45G,MAPK3,CDKN2A,MAPK1,PIK3R3,PIK3R2,PIK3R1,JAK1,DDB2,NFKB1,MAPK8,MAPK9,ERBB2,TGFBR2,TGFBR1,BRCA2,RAC2,RALGDS,RAC1,CHUK,MTOR,SMAD2,TP53,RELA,KRAS,E2F3,E2F2,E2F1,CCND1,AKT2,BAK1,PIK3CB,CDK4,BRAF,RAD51,GADD45A,ARAF,CDC42,RALB,RALA,PLD1
Endometrial cancer - Homo sapiens (human)	path:hsa05213	KEGG	MAP2K1,PIK3CD,CDKN1A,EGFR,ILK,BAX,TCF7L1,CTNNB1,AKT1,BAD,AKT3,ARAF,POLK,CASP9,RAF1,EGF,AXIN2,AXIN1,PTEN,PIK3CA,PIK3CB,NRAS,MLH1,GADD45G,MAPK3,ELK1,PIK3R3,PIK3R2,PIK3R1,CDH1,MYC,CTNNA3,HRAS,ERBB2,TCF7,DDB2,GSK3B,PDPK1,APC2,LEF1,CTNNA1,CTNNA2,KRAS,FOXO3,TP53,SOS2,SOS1,MAP2K2,CCND1,AKT2,TCF7L2,BAK1,MAPK1,GRB2,BRAF,GADD45A,APC,GADD45B
Colorectal cancer - Homo sapiens (human)	path:hsa05210	KEGG	PMAIP1,AKT1,AKT2,AKT3,ARAF,EGF,GADD45A,GADD45B,PIK3CD,DCC,GADD45G,MYC,KRAS,CCND1,TCF7L1,TCF7L2,GSK3B,GRB2,APC,CDKN1A,BAK1,TGFA,RAF1,JUN,PIK3R3,PIK3R2,PIK3R1,TCF7,FOS,HRAS,RHOA,TP53,PIK3CA,RALB,RALA,MSH6,SMAD4,SMAD2,SMAD3,MAPK10,POLK,AREG,RPS6KB1,RPS6KB2,MAPK3,MAPK1,DDB2,MAPK8,MAPK9,MSH2,TGFBR2,TGFBR1,RALGDS,APPL1,MTOR,CYCS,LEF1,SOS2,SOS1,BAD,EREG,TGFB1,TGFB2,TGFB3,BIRC5,MSH3,EGFR,BAX,CTNNB1,MAP2K2,MAP2K1,BBC3,BCL2L11,AXIN2,AXIN1,NRAS,MLH1,RAC2,RAC3,RAC1,APC2,CASP3,CASP9,PIK3CB,BRAF,BCL2
Phototransduction - Homo sapiens (human)	path:hsa04744	KEGG	RCVRN,GNAT1,GNAT2,CALM2,CALM3,CALM1,CNGB1,GRK7,SAG,GRK1,RGS9,GUCY2D,RHO,GUCY2F,GNB1,SLC24A1,CNGA1,CALML3,CALML6,CALML5,CALML4,PDE6B,PDE6A,PDE6G,GNGT1,GUCA1A,GUCA1C,GUCA1B
Morphine addiction - Homo sapiens (human)	path:hsa05032	KEGG	GRK6,CACNA1A,GRK4,GRK5,GNG10,GNG11,GNG12,GNG13,PDE7A,PDE7B,GABRR2,PDE8A,PDE8B,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,GNG7,GNG4,GNG5,GNG2,GNG3,GNG8,GABRG3,GABRG2,GABRG1,GABBR1,GABBR2,GABRA1,GABRA2,GRK2,GNAS,GABRQ,GABRP,GABRE,GABRD,CACNA1B,GABRR1,SLC32A1,GABRR3,GRK3,ARRB2,ARRB1,GABRA5,GABRA4,PDE11A,GABRA6,GNAI2,GNAI3,GABRA3,GNAI1,PDE3A,PDE3B,ADORA1,GNAO1,GNB5,GNB4,GNB1,GNB3,GNB2,OPRM1,GABRB1,GABRB2,GABRB3,PDE10A,KCNJ3,KCNJ6,KCNJ5,KCNJ9,PRKACG,PRKACA,PRKACB,PDE4A,PDE4B,PDE4C,PDE4D,PDE2A,PDE1C,PDE1B,PDE1A,PRKCA,PRKCB,PRKCG,DRD1,GNGT2,GNGT1
Proteasome - Homo sapiens (human)	path:hsa03050	KEGG	PSMD8,PSMB11,PSMB10,PSMD4,PSMF1,PSMD6,PSMD1,PSMD3,PSMD2,PSMD7,PSMA2,PSMA3,PSMA1,PSMA6,PSMA7,PSMA4,PSMA5,PSMC1,PSMC2,PSMC3,ADRM1,PSMC5,PSMC6,POMP,IFNG,PSME4,PSME2,PSME3,PSME1,PSMD14,PSMA8,SEM1,PSMC4,PSMD11,PSMD13,PSMD12,PSMB9,PSMB8,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1
RIG-I-like receptor signaling pathway - Homo sapiens (human)	path:hsa04622	KEGG	IFIH1,NFKBIB,OTUD5,NFKBIA,IL12B,IL12A,MAPK14,MAPK10,IKBKG,MAPK12,IKBKE,DDX3X,PIN1,NLRX1,TMEM173,IFNW1,DDX58,TANK,DHX58,MAP3K1,MAP3K7,TRADD,IFNB1,AZI2,IFNA10,IFNA21,ISG15,IKBKB,ATG5,IFNA13,NFKB1,MAPK8,MAPK9,IFNA17,IFNA16,IFNA14,TRAF2,TRAF3,IFNK,TRAF6,SIKE1,TRIM25,IFNE,FADD,CHUK,IFNA5,ATG12,CASP8,CASP10,CXCL10,RELA,TBKBP1,IRF3,RIPK1,IFNA8,IRF7,TBK1,CXCL8,IFNA1,IFNA7,IFNA6,TKFC,IFNA4,MAPK13,TNF,CYLD,IFNA2,RNF125,MAVS,MAPK11
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	path:hsa00630	KEGG	MUT,GRHPR,PCCB,GLYCTK,PCCA,CAT,CS,GLUL,MDH2,MDH1,GLDC,AFMID,ACAT1,ACAT2,PGP,HYI,MCEE,AMT,DLD,ACSS2,ACSS1,ACO1,ACO2,SHMT2,SHMT1,HOGA1,AGXT,HAO1,HAO2,GCSH
Sulfur metabolism - Homo sapiens (human)	path:hsa00920	KEGG	PAPSS1,PAPSS2,BPNT1,MPST,SQOR,IMPAD1,TST,SUOX,ETHE1
Alcoholism - Homo sapiens (human)	path:hsa05034	KEGG	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4G,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,HIST1H4H,HIST1H4L,ARAF,BDNF,CALM2,CALM3,CALM1,GNG10,GNG11,H2AFB1,GNG13,GRIN1,SHC4,SHC1,SHC2,SHC3,CREB5,CREB3,CREB1,HIST3H2BB,H2BFM,KRAS,ADCY5,H2AFV,CAMKK2,H2AFX,PKIA,H2AFZ,GNG7,GNG4,GNG5,GNG2,GNG3,HDAC11,HDAC10,HIST3H3,GNG8,GNAO1,HRAS,H2AFY,HIST1H2BB,SLC29A1,CREB3L4,CRH,H2AFB3,ADORA2A,ADORA2B,PPP1R1B,RAF1,GRB2,H3F3C,H3F3B,H3F3A,NPY,GRIN2A,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST2H3C,HIST1H2BA,HIST2H3A,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,GNAS,CALML3,CALML6,CALML5,CALML4,MAOB,CAMKK1,HIST2H3D,H2AFJ,SLC18A2,SLC18A1,HIST3H2A,HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,FOSB,H2AFY2,H2AFB2,DDC,NTRK2,GNAI2,GNAI3,GNAI1,MAPK3,MAPK1,HIST2H2AA3,HIST2H2AA4,PDYN,GNB5,GNB4,GNB1,CAMK4,GNB3,GNB2,H2BFWT,SOS2,SOS1,HAT1,PRKACA,HIST2H2BF,HIST2H2BE,HIST1H2AM,HIST1H2AL,MAP2K1,HIST1H2AI,HIST1H2AH,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AG,HIST2H4B,HIST1H2AC,HIST2H4A,GRIN2B,HIST4H4,SLC6A3,GRIN2C,HIST1H2AA,NRAS,MAOA,GRIN3A,GRIN3B,TH,HIST1H2AB,BRAF,GRIN2D,HIST1H3B,HIST1H3C,HIST1H3A,HIST1H3F,HIST1H3G,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3H,HIST1H3I,HIST2H2AB,HIST2H2AC,PPP1CB,PPP1CC,PPP1CA,DRD2,DRD1,CREB3L2,CREB3L3,CREB3L1,GNGT2,GNGT1,ATF4,ATF6B,GNG12,ATF2
Cocaine addiction - Homo sapiens (human)	path:hsa05030	KEGG	SLC6A3,CREB3L3,GRIA2,FOSB,CREB3L4,BDNF,GNAI2,GNAI3,GNAI1,CREB3L2,PPP1R1B,DLG4,GRIN2C,CREB3L1,JUN,MAOA,GRIN3A,GRIN3B,CDK5R1,TH,NFKB1,GRIN1,RGS9,GRM2,GRM3,PDYN,CREB5,CREB3,CREB1,ATF4,DDC,SLC18A1,ADCY5,RELA,GNAS,DRD2,DRD1,GRIN2B,MAOB,PRKACG,GRIN2A,PRKACA,CDK5,GRIN2D,PRKACB,SLC18A2,ATF6B,ATF2,GPSM1
Pentose and glucuronate interconversions - Homo sapiens (human)	path:hsa00040	KEGG	DCXR,UGT2A3,UGT2A2,UGT2A1,RPEL1,AKR1A1,DHDH,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,UGP2,UGT1A3,AKR1B10,UGT1A10,UGT2B15,UGDH,UGT2B17,UGT2B10,UGT2B11,RPE,GUSB,UGT2B7,UGT2B4,CRYL1,SORD,UGT2B28,ISPD,AKR1B1,KL,UGT1A8,XYLB
Ovarian steroidogenesis - Homo sapiens (human)	path:hsa04913	KEGG	CYP2J2,PTGS2,STAR,ADCY5,CYP17A1,INSR,BMP15,AKR1C3,LHCGR,CYP11A1,CYP1B1,FSHB,CGA,FSHR,HSD17B1,HSD17B2,ADCY3,HSD17B7,IGF1R,IGF1,LHB,CYP1A1,ALOX5,LDLR,PLA2G4C,PLA2G4B,PLA2G4A,ACOT2,PLA2G4F,PLA2G4E,PLA2G4D,ADCY4,BMP6,ADCY6,ADCY7,ADCY1,ADCY2,GNAS,JMJD7-PLA2G4B,SCARB1,CYP19A1,ADCY8,ADCY9,INS,PRKACG,PRKACA,HSD3B1,HSD3B2,PRKACB
